latitude,longitude,magnitude,time,catalog_id
-39.01440006972393,174.97387763489863,4.5,2016-11-20 16:08:17.066461,0
-45.15878700495642,167.42115768098557,4.5,2016-11-26 04:24:29.277914,0
-37.46608465114927,179.64700522407858,4.8,2017-01-17 10:19:33.405622,0
-38.710366641393016,175.757193175347,4.1,2016-12-30 01:58:10.236150103,0
-45.488633584532025,166.64404291264216,5.2,2016-12-30 09:12:49.266582448,0
-34.2844794125856,179.5839152312755,4.4,2016-12-07 09:07:07.410466441,0
-42.71062149224247,173.12812738368163,4.3,2016-12-06 13:52:53.522253212,0
-42.70125134103021,172.82637033586565,4.1,2016-12-10 01:51:52.792557108,0
-42.41284241507915,173.81331380393212,4.1,2016-11-19 00:44:41.898824054,0
-41.77530236431985,174.28573635949112,4.2,2016-11-16 09:49:57.957444866,0
-42.46924681425983,173.24374803393573,4.3,2016-11-14 13:39:03.706694342,0
-42.60857794077377,172.82976415696191,4.9,2016-11-29 13:19:58.246510986,0
-41.75277573559458,174.589502710188,4.4,2017-02-07 04:30:04.522703454,0
-37.04704843045052,179.12423313166573,4.3,2016-12-28 19:54:46.413724,1
-35.25052208153566,178.80437163099322,4.6,2017-01-05 19:40:38.074234,1
-40.1299247338436,173.4075885780362,4.2,2017-02-02 21:21:11.735807,1
-42.29161053692359,172.77554264140642,4.3,2016-11-20 05:55:29.553758339,1
-41.952077738328335,173.03129023852182,4.6,2016-11-16 04:30:50.730266776,1
-42.67308021048573,173.00125855028296,5.1,2017-02-07 08:08:58.495232607,1
-42.61463314660921,172.93472201661822,4.3,2016-11-14 01:06:56.907240760,1
-42.38289715718708,173.8262836882499,4.3,2016-12-15 15:48:18.172628495,1
-42.07426306777602,173.69939703393348,4.5,2016-11-29 18:55:14.148316155,1
-42.439663708934766,173.0227557563321,4.4,2016-12-07 16:50:59.701933784,1
-41.61639439342258,174.29141867380704,4.2,2016-12-15 13:33:46.559549439,1
-42.37262439140568,173.34274445386657,4.8,2016-12-07 04:46:16.298418600,1
-42.50909189136793,173.1654174908856,4.2,2016-11-24 08:26:16.071533612,1
-41.74718572327292,174.35021046073476,4.1,2016-11-14 00:50:50.044935964,1
-41.88678204714697,174.0077495177067,4.8,2016-11-14 23:38:26.782339409,1
-42.35795167464659,173.78292044122617,4.2,2016-11-14 03:57:29.846025600,1
-42.48842691608566,173.31521559476985,4.2,2016-11-14 03:22:57.322285208,1
-41.9033136482167,174.1729477486058,4.7,2016-11-18 07:59:34.333687725,1
-42.31841689787402,173.58320998012118,4.1,2016-11-14 04:11:57.247211312,1
-41.88754682646599,174.1228305992965,4.2,2016-11-14 03:13:44.528512090,1
-42.65550123829341,172.69010532150173,5.1,2016-11-14 00:19:30.120842431,1
-42.36956366171491,173.86501644618016,4.1,2016-12-16 05:09:00.593172315,1
-42.50849947111906,173.28668512222455,4.2,2016-11-14 05:27:10.801548360,1
-38.503457362371,175.81320985395547,4.8,2017-01-07 18:57:47.542765,2
-38.036128446594255,179.2345604076645,4.3,2017-01-28 01:12:13.938745,2
-37.19702541701725,178.99139065719987,4.1,2016-11-27 21:21:56.879484355,2
-36.1003665850055,179.80163460856372,4.1,2016-12-15 21:08:21.602434547,2
-42.519835245246895,173.10513659155427,4.4,2016-11-21 04:22:32.016477889,2
-42.55747095957357,173.05883630802134,4.6,2016-11-17 07:25:42.038618280,2
-41.849207193186,174.0129055295703,4.5,2016-11-27 06:02:22.893876205,2
-41.77281864524576,174.25367336126973,4.2,2016-11-14 10:44:56.330770954,2
-41.717001080807385,174.22365447337916,4.5,2016-11-23 23:25:11.514065404,2
-42.32582387411984,174.05224315116052,4.4,2017-01-13 14:48:54.508695075,2
-41.83702946044418,174.08729137782126,4.2,2017-01-03 09:35:35.133477984,2
-42.62442650889432,172.8386381417731,4.4,2016-11-18 16:22:59.424236096,2
-41.64888078633086,174.2497950371716,4.3,2017-01-07 03:56:56.223616317,2
-41.73312334102978,174.24675870913347,4.3,2017-01-01 07:48:11.208065218,2
-42.34824670204247,173.1416040439937,4.4,2016-11-18 14:09:56.839179310,2
-41.71362145403169,174.3255359942007,4.1,2016-11-18 00:56:48.067679581,2
-46.54564231125376,166.11672628605044,4.4,2016-11-19 00:18:22.516381,3
-39.84820803462008,175.32540022182144,4.6,2016-11-27 04:53:55.660710,3
-39.01044721071121,174.99330255829403,4.8,2016-12-03 06:56:19.634971,3
-36.53851910730038,178.01977777441468,4.1,2016-12-13 01:16:17.528468,3
-45.97955503306215,170.56041655522222,4.2,2016-12-28 13:49:58.708563,3
-43.09498293645634,171.34241038152533,4.2,2017-01-02 11:19:16.185117,3
-38.36322612216929,178.6191192027276,4.3,2017-01-27 09:31:07.985178,3
-37.66407570531723,176.39490406211326,4.2,2017-02-07 22:27:56.762545,3
-37.65606058285417,176.39235086027284,4.3,2017-02-07 23:19:20.924271367,3
-41.73159959872034,174.1177017002522,4.3,2016-11-17 16:23:49.373906415,3
-42.739931878071225,172.36125216234808,4.1,2016-12-21 05:34:30.102603810,3
-42.5328529133048,173.20462731706988,4.2,2017-01-11 22:00:44.585212221,3
-41.79363717816555,174.20028243281695,4.1,2016-11-21 10:37:15.885282288,3
-41.80481138991656,174.052761897619,4.9,2016-11-15 13:24:52.871982538,3
-42.25678991455269,173.89560492609212,4.1,2016-11-15 16:17:33.098957472,3
-41.75356128728531,174.1708049891611,4.5,2016-12-13 04:51:29.425662984,3
-41.77500789593455,174.26230899385703,4.1,2016-11-14 03:16:00.062280388,3
-41.84274292349589,174.03372036746242,4.2,2016-11-14 01:35:56.702733698,3
-42.32321497786872,173.48793293825173,4.6,2016-11-21 07:34:27.416051450,3
-41.69571122234444,174.05252674859872,4.1,2016-11-17 16:24:00.341332628,3
-36.82491173007507,178.1456677119092,4.1,2016-12-07 08:09:31.706831,4
-42.93446273333655,171.4856299175066,4.2,2016-12-28 12:22:26.366719,4
-36.948917587024425,177.6123698571997,4.2,2017-01-26 07:49:28.692255,4
-45.033625536269255,167.39247135056348,5.0,2017-01-27 14:19:13.327576,4
-37.16606113592285,177.79901214886692,4.3,2017-02-02 10:23:31.461482,4
-36.36571723953495,179.52890835824277,4.2,2017-02-06 20:22:28.895086,4
-37.6362257733519,175.93187969856527,5.1,2017-02-08 13:12:22.147105323,4
-38.53448945507506,177.00091193331704,4.1,2017-02-08 15:19:25.368195768,4
-40.48767321294026,174.85001374427037,6.1,2017-01-14 15:33:41.889962495,4
-43.49907373290543,172.8541018359374,4.2,2017-01-20 11:21:30.619387330,4
-37.23003685710013,179.27660532824507,5.0,2017-01-14 07:49:44.963707969,4
-41.86399694607692,173.99766454660707,4.7,2016-11-15 00:58:16.263296706,4
-42.445160187235935,173.41328225630252,4.2,2016-12-31 03:03:12.127991375,4
-42.50771142971295,173.12745938379317,4.4,2016-11-15 02:57:31.056162182,4
-42.3722928680102,173.4297368134547,4.6,2016-11-24 11:00:29.043730260,4
-41.689124583715966,174.2362457816344,4.4,2016-11-16 08:49:04.786722015,4
-41.807177941394265,174.278070630492,4.4,2016-11-14 04:57:11.592407609,4
-42.14968453575235,174.03285677487148,4.2,2016-11-14 03:27:01.315046063,4
-37.46266845939501,177.1243690451115,4.3,2016-11-17 08:53:23.802434,5
-45.74275736408951,166.77873812925176,4.1,2016-11-26 16:59:47.232102,5
-38.20461711484422,175.5428989377656,4.7,2016-11-26 20:22:01.396053,5
-37.49122663221256,177.13077610422806,4.1,2016-12-26 04:32:36.608827,5
-41.834610302301215,172.220475621661,4.5,2017-01-13 04:23:33.982621,5
-41.01118876996598,174.27647702808068,4.4,2017-01-23 08:34:40.818122,5
-36.89818873941275,177.71862477124418,4.4,2017-02-04 09:25:04.626330,5
-36.40782808681895,177.60988569655575,4.3,2017-01-21 02:55:31.726536322,5
-45.37940246987491,166.4585427480905,4.2,2016-11-18 18:53:16.956414918,5
-41.546352025545566,174.11471969427689,4.1,2016-12-28 17:02:33.154232105,5
-42.45162241768352,173.31272478301906,4.5,2016-11-30 18:38:52.033551613,5
-42.29288690342429,173.62150947022968,4.1,2016-11-20 07:32:31.532276807,5
-41.72781237011184,174.13778220066104,4.5,2016-12-14 05:40:04.724993719,5
-41.70622380898291,174.3074934559756,4.1,2016-11-29 04:45:08.959371067,5
-41.76283925512064,174.26274471843638,4.6,2016-11-14 06:45:49.953813226,5
-42.67747142279003,173.052789282557,4.5,2016-11-23 04:17:57.077718666,5
-42.30082866436309,173.90421387320526,4.9,2016-11-14 00:23:44.165359249,5
-42.07894843988455,172.95372543729275,4.3,2016-11-16 20:32:40.836648439,5
-42.313699524983335,173.64806961432106,4.2,2016-11-14 08:10:44.590885865,5
-42.16727240151091,173.68327632397643,5.8,2017-02-10 04:42:50.802058172,5
-42.46949415319001,173.2931591729944,4.2,2016-11-30 19:17:15.080352428,5
-37.501855900854174,179.2439989910299,4.1,2016-11-18 09:36:04.093227,6
-34.82244266434838,178.6563304968519,4.8,2016-11-21 00:42:19.966945,6
-36.668605417378814,177.56630729399745,4.3,2016-11-28 17:36:30.044910,6
-34.95304823724142,178.41941881093712,4.8,2016-12-19 16:23:59.829602,6
-38.29572038963014,175.64941612056774,4.5,2017-01-09 19:50:50.789334,6
-47.53229155590086,165.32509718563492,4.4,2017-01-29 10:44:25.721956,6
-35.754186044180734,178.69327356360182,4.4,2016-12-28 09:45:55.061159573,6
-45.96060669128816,166.1419417425501,4.3,2016-12-17 22:30:26.194643500,6
-41.97906190519436,174.15669855351038,4.9,2017-01-21 16:22:00.075445931,6
-40.45903959024452,173.86049269778525,4.3,2016-11-17 10:50:53.286522157,6
-42.902001417562886,172.58525658030604,4.3,2016-11-23 17:22:51.726353946,6
-42.50328664800868,173.1326793971066,4.1,2016-11-29 01:51:17.786518643,6
-41.87914286936675,174.4199700088109,4.2,2016-11-16 02:03:59.296527778,6
-41.89799978734616,174.45230026941002,4.2,2016-11-16 09:05:58.803049795,6
-42.45084904475807,173.0713781398643,4.2,2016-11-14 05:04:47.253430008,6
-42.68283351699296,172.90644985698998,4.2,2016-11-15 19:58:23.356769178,6
-41.76913229537978,174.225242805876,4.8,2017-01-03 00:50:38.348736827,6
-42.57703461615497,172.59378948992216,4.7,2016-11-14 12:14:20.771867394,6
-41.80182958556517,173.9622697280494,4.6,2016-11-17 15:03:49.639210872,6
-42.24574338360556,173.6679691113114,4.1,2016-11-14 05:28:15.055442021,6
-41.59571873726951,174.10439999442298,4.6,2016-11-14 00:04:11.857838816,6
-42.73158068062516,172.89900811489784,4.4,2017-01-07 01:11:53.923819917,6
-42.563312747691626,172.55189947518744,4.2,2016-11-14 12:35:25.820280406,6
-37.99699432405173,179.50147828702404,4.5,2016-11-30 09:43:17.956576,7
-36.8973648427944,177.06873935194352,4.1,2017-01-16 03:11:39.976509,7
-39.75093427054569,174.92561742449118,4.1,2017-01-13 16:17:35.827040296,7
-37.33256732068456,179.1096258133417,4.1,2016-11-26 10:51:25.836554584,7
-45.19478075334988,169.66421341816124,4.1,2016-12-17 19:47:26.859484467,7
-42.70046502980935,172.62295104905942,4.5,2016-11-15 17:43:23.396970855,7
-42.15571025838474,173.68914640246845,4.3,2016-11-14 15:54:11.167793552,7
-42.502006178681,173.2757280936593,4.2,2017-01-13 07:49:11.402110838,7
-42.605752216025074,173.0817133815642,4.1,2016-11-14 01:48:36.692791578,7
-41.82071019785012,174.05032494272922,4.7,2016-12-12 00:39:33.479337976,7
-41.777013561106834,174.1425480252441,5.2,2016-11-15 21:16:06.321328061,7
-42.40126761897584,173.68767794203796,4.1,2016-11-14 01:47:46.130070525,7
-42.381755218586704,173.04114348613618,5.0,2016-11-25 17:01:33.030974534,7
-36.677428721982615,177.41093161844572,4.6,2016-12-01 15:16:47.934360,8
-36.275775440966086,179.35702370385718,4.5,2016-12-14 12:09:47.772942,8
-37.25167738677219,177.43212593368676,4.3,2016-12-21 20:18:52.546108,8
-38.32579556564652,176.1105274603763,4.1,2017-01-07 11:03:03.110894,8
-37.44054882423616,176.66595265280782,5.1,2017-01-11 13:20:18.393161,8
-36.11458119516261,178.89454309676125,4.1,2017-01-23 13:55:39.748444,8
-36.98222399460239,177.3050118314977,4.2,2017-02-05 10:04:55.660949,8
-37.4872846528226,179.17761786751052,4.3,2016-11-29 20:34:07.927768994,8
-36.39968238761256,178.03554037378848,4.7,2016-12-08 03:13:26.054365276,8
-42.592892674479685,173.04728023511674,4.6,2016-11-27 08:38:37.510942393,8
-42.08229652208852,173.70829508356013,4.3,2016-11-14 21:47:51.852154311,8
-42.28613688005334,173.7187723151898,4.5,2016-11-15 04:54:05.332361380,8
-42.64417107431874,172.7064629071062,4.5,2016-12-10 18:11:24.549970229,8
-42.322170263058695,173.86890397490856,4.9,2016-12-05 00:27:38.214877835,8
-42.20745100570294,173.81492632299586,4.8,2016-11-16 10:01:57.329392240,8
-41.826962260183954,174.1714075200235,4.4,2016-11-20 08:32:00.442861295,8
-41.77692892418525,174.27400048094802,4.2,2016-11-16 02:15:03.758900857,8
-41.772620898449645,174.17625859966358,4.7,2016-12-31 17:19:26.896738109,8
-42.69869183966173,172.68165335680604,4.2,2016-11-26 18:17:29.496202735,8
-41.75680908137989,174.36735266965707,4.1,2016-11-15 12:07:48.817669722,8
-42.10588395413265,175.61309532411275,5.3,2016-11-14 06:34:49.087090047,8
-41.84819191310452,174.41390566283508,4.4,2016-12-31 17:57:27.987071316,8
-42.09901150417019,175.6494421764847,4.2,2016-11-30 19:04:23.039374834,8
-40.06364718163032,173.26511189253327,4.3,2016-11-14 01:22:13.348413,9
-36.6696305414072,177.51078966928205,4.4,2016-11-29 09:01:28.468498,9
-47.41073399791008,165.43969939219866,4.4,2016-12-01 00:01:45.628633,9
-35.42060525059594,179.27620904257978,4.2,2016-12-05 17:03:51.793872,9
